	ref_title	ref_context	ref_entry	abstract	intro	ref_link
0	Distance Based Chyi	[]	Torgo 2013. Distance Based Chyi			http://scholar.google.com/scholar?hl=en&q=Ying+Mi.+2013.+Imbalanced+classification+based+on+active+learning+SMOTE.+Res.+J.+Appl.+Sci.+5+%282013%29.
1	Combination of Methods	[]	Sáez 2015. Combination of Methods			http://scholar.google.com/scholar?hl=en&q=Vincent+Barnab-Lortie%2C+Colin+Bellinger%2C+and+Nathalie+Japkowicz.+2015.+Active+learning+for+one-class+classification.+In+Proceedings+of+ICMLA%272015.
2	size, while the second one adds data, increasing the sample size. In random under-sampling, a random set of majority class examples are discarded. This may eliminate useful examples leading to a worse performance. Oppositely, in random oversampling, a random set of copies of minority class examples is added to the data	[]	Zadrozny 2003. size, while the second one adds data, increasing the sample size. In random under-sampling, a random set of majority class examples are discarded. This may eliminate useful examples leading to a worse performance. Oppositely, in random oversampling, a random set of copies of minority class examples is added to the data			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
3	The notion of the Condensed Nearest Neighbour Rule	[]	classes [Batista 2004. The notion of the Condensed Nearest Neighbour Rule			https://doi.org/10.1007/s11063-014-9376-3
4	Recognition-based methods as one-class learning or autoencoders offer the possibility	[]	Batista 2004. Recognition-based methods as one-class learning or autoencoders offer the possibility			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
5	2006a, 2006b], and Lee and Cho [2006]) and the use of an autoencoder (or autoassociator	[]	P. Branco et al. Yousef, Raskutti, Kowalczyk, Zhuang, and Dai 2000. 2006a, 2006b], and Lee and Cho [2006]) and the use of an autoencoder (or autoassociator			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
6	made one of the first contributions with a new evolutionary method proposed for balancing the dataset. The presented method uses a new fitness function designed to perform a prototype selection process. Some proposals have also emerged in the area of heuristics and metrics for improving several genetic programming classifiers performance in imbalanced domains [Doucette and Heywood 2008	[]	Garcı́a 2006. made one of the first contributions with a new evolutionary method proposed for balancing the dataset. The presented method uses a new fitness function designed to perform a prototype selection process. Some proposals have also emerged in the area of heuristics and metrics for improving several genetic programming classifiers performance in imbalanced domains [Doucette and Heywood 2008			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
7	Genetic Algorithms (GA) and clustering techniques were combined to perform both under- and over-sampling [Maheshwari et al	[]	EA However 2011. Genetic Algorithms (GA) and clustering techniques were combined to perform both under- and over-sampling [Maheshwari et al			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
8	The denoising autoencoders are neural networks	[]	Vincent 2010. The denoising autoencoders are neural networks			https://doi.org/10.1007/s11063-014-9376-3
9	2014] use a random-walk-based approach as an over-sampling strategy	[]	matrix. Zhang, and Li 2014. 2014] use a random-walk-based approach as an over-sampling strategy			http://scholar.google.com/scholar?hl=en&q=Roberto+Alejo%2C+J.+A.+Antonio%2C+Rosa+Maria+Valdovinos%2C+and+J.+Horacio+Pacheco-S%C3%A1nchez.+2013.+Assessments+metrics+for+multi-class+imbalance+learning%3A+A+preliminary+study.+In+Pattern+Recognition.+Springer%2C+335%2D%2D343.
10	2012a]. An exception is the Fuzzy Rough Imbalanced	[]	SMOTE+RSB) [Ramentol 2012. 2012a]. An exception is the Fuzzy Rough Imbalanced			http://scholar.google.com/scholar?hl=en&q=Rehan+Akbani%2C+Stephen+Kwek%2C+and+Nathalie+Japkowicz.+2004.+Applying+support+vector+machines+to+imbalanced+datasets.+In+Machine+Learning%3A+ECML+2004.+Springer%2C+39%2D%2D50.
11	Adaptive Synthetic (ADASYN	[]	Borderline-SMOTE [Han 2005. Adaptive Synthetic (ADASYN. [He et al			http://scholar.google.com/scholar?hl=en&q=Colin+Bellinger%2C+Nathalie+Japkowicz%2C+and+Christopher+Drummond.+2015.+Synthetic+oversampling+for+advanced+radioactive+threat+detection.+In+Proceedings+ICML%272015.
12	Safe Level Graph [Bunkhumpornpat	[]	Level-SMOTE [Bunkhumpornpat 2009. Safe Level Graph [Bunkhumpornpat			http://scholar.google.com/scholar?hl=en&q=Chumphol+Bunkhumpornpat%2C+Krung+Sinapiromsaran%2C+and+Chidchanok+Lursinsap.+2011.+MUTE%3A+Majority+under-sampling+technique.+In+2011+8th+International+Conference+on+Information%2C+Communications+and+Signal+Processing+%28ICICS%29.+IEEE%2C+1%2D%2D4.
