top_n_words	label	title	abstract	topic_word	topic_bigram	topic_trigram
sample set degree boundary minority add advantage date essential generate guide hotspot ideal light obvious participate people possible view new 	0	An improved SMOTE imbalanced data classification method based on support degree	Imbalanced data-set Classification has become a hotspot problem in Data Mining. The essential assumption of the traditional classification algorithms is that the distribution of the classes is balanced, therefore the algorithms used in Imbalanced data-set Classification cannot achieve an ideal effect. In view of imbalance date-set classification, we propose an oversampling method based on support degree in order to guide people to select minority class samples and generate new minority class samples. In the light of support degree, it is now possible to identify minority class boundary samples, then produce a number of new samples between the boundary samples and their neighbors, finally add the synthetic samples to the original data-set to participate in training and testing. Experimental results show that the method has an obvious advantage in dealing with imbalanced data-set. 	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
tree dn ensemble combined conventional bagging decision model 66 c4 collection considers data— designed distance disturbing generally generating hddt hellinger 	0	Disturbing neighbors ensembles of trees for imbalanced data	Disturbing Neighbors (DN ) is a method for generating classifier ensembles. Moreover, it can be combined with any other ensemble method, generally improving the results. This paper considers the application of these ensembles to imbalanced data: classification problems where the class proportions are significantly different. DN ensembles are compared and combined with Bagging, using three tree methods as base classifiers: conventional decision trees (C4.5), Hellinger distance decision trees (HDDT) —a method designed for imbalance data— and model trees (M5P) —trees with linear models at the leaves—. The methods are compared using two collections of imbalanced datasets, with 20 and 66 datasets, respectively. The best results are obtained combining Bagging and DN , using conventional decision trees. 	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
knowledge discovery raw understanding research review critical challenge complex data provide advance amount art availability continuous development direction due efficiently 	0	Learning from imbalanced data	With the continuous expansion of data availability in many large-scale, complex, and networked systems, such as surveillance, security, Internet, and finance, it becomes critical to advance the fundamental understanding of knowledge discovery and analysis from raw data to support decision-making processes. Although existing knowledge discovery and data engineering techniques have shown great success in many real-world applications, the problem of learning from imbalanced data (the imbalanced learning problem) is a relatively new challenge that has attracted growing attention from both academia and industry. The imbalanced learning problem is concerned with the performance of learning algorithms in the presence of underrepresented data and severe class distribution skews. Due to the inherent complex characteristics of imbalanced data sets, learning from such data requires new understandings, principles, algorithms, and tools to transform vast amounts of raw data efficiently into information and knowledge representation. In this paper, we provide a comprehensive review of the development of research in learning from imbalanced data. Our focus is to provide a critical review of the nature of the problem, the state-of-the-art technologies, and the current assessment metrics used to evaluate learning performance under the imbalanced learning scenario. Furthermore, in order to stimulate future research in this field, we also highlight the major opportunities and challenges, as well as potential important research directions for learning from imbalanced data.	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
unlabeled active informativeness work available informative sample point arise during evolved hyper label many minimum promising risk separately such user 	0	Active learning from positive and unlabeled data	During recent years, active learning has evolved into a popular paradigm for utilizing user’s feedback to improve accuracy of learning algorithms. Active learning works by selecting the most informative sample among unlabeled data and querying the label of that point from user. Many different methods such as uncertainty sampling and minimum risk sampling have been utilized to select the most informative sample in active learning. Although many active learning algorithms have been proposed so far, most of them work with binary or multi-class classification problems and therefore can not be applied to problems in which only samples from one class as well as a set of unlabeled data are available. Such problems arise in many real-world situations and are known as the problem of learning from positive and unlabeled data. In this paper we propose an active learning algorithm that can work when only samples of one class as well as a set of unlabeled data are available. Our method works by separately estimating probability density of positive and unlabeled points and then computing expected value of informativeness to get rid of a hyper-parameter and have a better measure of informativeness. Experiments and empirical analysis show promising results compared to other similar methods. 	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
rusboost smoteboost boosting simpler alternative faster technique domain learner sampling 15 alleviate attractive comparably component conduct create evaluates given hybrid 	0	RUSBoost: A hybrid approach to alleviating class imbalance	Class imbalance is a problem that is common to many application domains. When examples of one class in a training data set vastly outnumber examples of the other class(es), traditional data mining algorithms tend to create suboptimal classification models. Several techniques have been used to alleviate the problem of class imbalance, including data sampling and boosting. In this paper, we present a new hybrid sampling/boosting algorithm, called RUSBoost, for learning from skewed training data. This algorithm provides a simpler and faster alternative to SMOTEBoost, which is another algorithm that combines boosting and data sampling. This paper evaluates the performances of RUSBoost and SMOTEBoost, as well as their individual components (random undersampling, synthetic minority oversampling technique, and AdaBoost). We conduct experiments using 15 data sets from various application domains, four base learners, and four evaluation metrics. RUSBoost and SMOTEBoost both outperform the other procedures, and RUSBoost performs comparably to (and often better than) SMOTEBoost while being a simpler and faster technique. Given these experimental results, we highly recommend RUSBoost as an attractive alternative for improving the classification performance of learners built using imbalanced data.	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
adaboost having error dataset higher prediction baboost bit certain decrease indicates little margin predict problematic proved unbalanced weight majority it 	0	An improved AdaBoost algorithm for unbalanced classification data	AdaBoost algorithm is proved to be a very efficient classification method for the balanced dataset with all classes having similar proportions. However, in real application, it is quite common to have unbalanced dataset with a certain class of interest having very small size. It will be problematic since the algorithm might predict all the cases into majority classes without loss of overall accuracy. This paper proposes an improved AdaBoost algorithm called BABoost (Balanced AdaBoost), which gives higher weights to the misclassified examples from the minority class. Empirical results show that the new method decreases the prediction error of minority class significantly with increasing the prediction error of majority class a little bit. It can also produce higher values of margin which indicates a better classification method	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
active yield efficient prediction achieves criterion diagnosis early entire medical necessitate observation pool providing stopping datasets way competitive concept smaller 	0	Learning on the border: Active learning in imbalanced data classification	This paper is concerned with the class imbalance problem which has been known to hinder the learning performance of classification algorithms. The problem occurs when there are significantly less number of observations of the target concept. Various real-world classification tasks, such as medical diagnosis, text categorization and fraud detection suffer from this phenomenon. The standard machine learning algorithms yield better prediction performance with balanced datasets. In this paper, we demonstrate that active learning is capable of solving the class imbalance problem by providing the learner more balanced classes. We also propose an efficient way of selecting informative instances from a smaller pool of samples for active learning which does not necessitate a search through the entire dataset. The proposed method yields an efficient querying system and allows active learning to be applied to very large datasets. Our experimental results show that with an early stopping criteria, active learning achieves a fast solution with competitive prediction performance in imbalanced data classification.	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
bi cost sensitive boosting algorithm applicable attainable attracts barrier concentrate drawback equal genetic interest lot misclassification most multiple optimum prevails 	0	Boosting for learning multiple classes with imbalanced class distribution	Classification of data with imbalanced class distribution has posed a significant drawback of the performance attainable by most standard classifier learning algorithms, which assume a relatively balanced class distribution and equal misclassification costs. This learning difficulty attracts a lot of research interests. Most efforts concentrate on bi-class problems. However, bi-class is not the only scenario where the class imbalance problem prevails. Reported solutions for bi-class applications are not applicable to multi-class problems. In this paper, we develop a cost-sensitive boosting algorithm to improve the classification performance of imbalanced data involving multiple classes. One barrier of applying the cost-sensitive boosting algorithm to the imbalanced data is that the cost matrix is often unavailable for a problem domain. To solve this problem, we apply Genetic Algorithm to search the optimum cost setup of each class. Empirical tests show that the proposed cost-sensitive boosting algorithm improves the classification performances of imbalanced data sets significantly.	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
document learner evolutionary applying architecture carry classifying described discovers flexible goal guarantee independence manner modular multistrategy obtains parallel preclassified relies 	0	A multistrategy approach for digital text categorization from imbalanced documents	The goal of the research described here is to develop a multistrategy classifier system that can be used for document categorization. The system automatically discovers classification patterns by applying several empirical learning methods to different representations for preclassified documents belonging to an imbalanced sample. The learners work in a parallel manner, where each learner carries out its own feature selection based on evolutionary techniques and then obtains a classification model. In classifying documents, the system combines the predictions of the learners by applying evolutionary techniques as well. The system relies on a modular, flexible architecture that makes no assumptions about the design of learners or the number of learners available and guarantees the independence of the thematic domain.	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
svm feedback relevance subspace ab based random r bagging asymmetric sample 2 3 abrs cbir content dimension happens hyperplane image 	0	Asymmetric bagging and random subspace for support vector machines-based relevance feedback in image retrieval	Relevance feedback schemes based on support vector machines (SVM) have been widely used in content-based image retrieval (CBIR). However, the performance of SVM-based relevance feedback is often poor when the number of labeled positive feedback samples is small. This is mainly due to three reasons: 1) an SVM classifier is unstable on a small-sized training set, 2) SVM’s optimal hyperplane may be biased when the positive feedback samples are much less than the negative feedback samples, and 3) overfitting happens because the number of feature dimensions is much higher than the size of the training set. In this paper, we develop a mechanism to overcome these problems. To address the first two problems, we propose an asymmetric bagging-based SVM (AB-SVM). For the third problem, we combine the random subspace method and SVM for relevance feedback, which is named random subspace SVM (RS-SVM). Finally, by integrating AB-SVM and RS-SVM, an asymmetric bagging and random subspace SVM (ABRS-SVM) is built to solve these three problems and further improve the relevance feedback performance.	['minority', 'learner', 'prediction']	['minority_class', 'imbalanced_data', 'active_learning', 'boosting_algorithm', 'class_distributions']	['imbalanced_data_sets', 'cost_sensitive_boosting', 'cost_test_example', 'data_set_classification', 'experimental_results_method']
