ref_id,ref_title,ref_link,ref_pdf,ref_parsed
id_3285029,Deep Learning Based Recommender System: A Survey and New Perspectives,https://dl.acm.org/ft_gateway.cfm?id=3285029&ftid=2041005&dwn=1&CFID=99879035&CFTOKEN=c64e219786abe0a-74C820D6-FF16-B633-E73F295403E1566D,https://dl.acm.org/ft_gateway.cfm?id=3285029&ftid=2042892&dwn=1&CFID=99879035&CFTOKEN=c64e219786abe0a-74C820D6-FF16-B633-E73F295403E1566D,/surveys/3285029/3285029.pdf
id_3286688,Sustainable Offloading in Mobile Cloud Computing: Algorithmic Design and Implementation,https://dl.acm.org/ft_gateway.cfm?id=3286688&ftid=2040474&dwn=1&CFID=74123528&CFTOKEN=a0faf7fb2ceb3c9d-74D03436-EAB6-5109-D27A7A4190DFF10A,https://dl.acm.org/ft_gateway.cfm?id=3286688&ftid=2040978&dwn=1&CFID=74123528&CFTOKEN=a0faf7fb2ceb3c9d-74D03436-EAB6-5109-D27A7A4190DFF10A,/surveys/3286688/3286688.pdf
id_3287306,An Exhaustive Survey on Security Concerns and Solutions at Different Components of Virtualization,https://dl.acm.org/ft_gateway.cfm?id=3287306&ftid=2040136&dwn=1&CFID=161313074&CFTOKEN=cc91610ab21303bc-74D168FD-B289-192E-164B285B202E2473,https://dl.acm.org/ft_gateway.cfm?id=3287306&ftid=2040979&dwn=1&CFID=161313074&CFTOKEN=cc91610ab21303bc-74D168FD-B289-192E-164B285B202E2473,/surveys/3287306/3287306.pdf
id_3301284,Urban Computing Leveraging Location-Based Social Network Data: A Survey,https://dl.acm.org/ft_gateway.cfm?id=3301284&ftid=2040130&dwn=1&CFID=74123695&CFTOKEN=6319fbe1fb4119e5-74D9835D-BC69-DE77-5055CE5E8EC5FA1E,https://dl.acm.org/ft_gateway.cfm?id=3301284&ftid=2040983&dwn=1&CFID=74123695&CFTOKEN=6319fbe1fb4119e5-74D9835D-BC69-DE77-5055CE5E8EC5FA1E,/surveys/3301284/3301284.pdf
id_3292499,Trust Evaluation in Cross-Cloud Federation: Survey and Requirement Analysis,https://dl.acm.org/ft_gateway.cfm?id=3292499&ftid=2040139&dwn=1&CFID=161313291&CFTOKEN=a282734ea5263b08-74DC3087-94E1-2562-6F4C269B14591C03,https://dl.acm.org/ft_gateway.cfm?id=3292499&ftid=2040985&dwn=1&CFID=161313291&CFTOKEN=a282734ea5263b08-74DC3087-94E1-2562-6F4C269B14591C03,/surveys/3292499/3292499.pdf
id_3301286,Identifying Top-k Nodes in Social Networks: A Survey,https://dl.acm.org/ft_gateway.cfm?id=3301286&ftid=2040120&dwn=1&CFID=99879536&CFTOKEN=2aa4b2f7a3d4d52d-74E23914-CE14-0DAC-5366C30C9C42DFFC,https://dl.acm.org/ft_gateway.cfm?id=3301286&ftid=2040988&dwn=1&CFID=99879536&CFTOKEN=2aa4b2f7a3d4d52d-74E23914-CE14-0DAC-5366C30C9C42DFFC,/surveys/3301286/3301286.pdf
id_3303849,A Comprehensive Survey on Parallelization and Elasticity in Stream Processing,https://dl.acm.org/ft_gateway.cfm?id=3303849&ftid=2053612&dwn=1&CFID=161313784&CFTOKEN=8272a5ebdbb11586-74F5CC6E-A994-C976-567487F4C632E1E3,https://dl.acm.org/ft_gateway.cfm?id=3303849&ftid=2053620&dwn=1&CFID=161313784&CFTOKEN=8272a5ebdbb11586-74F5CC6E-A994-C976-567487F4C632E1E3,/surveys/3303849/3303849.pdf
id_3322241,Indoor Localization Improved by Spatial Context A Survey,https://dl.acm.org/ft_gateway.cfm?id=3322241&ftid=2069709&dwn=1&CFID=74124850&CFTOKEN=e57626398b6181e8-752678F8-FDFD-4FF3-62123D537D7FDC15,https://dl.acm.org/ft_gateway.cfm?id=3322241&ftid=2071557&dwn=1&CFID=74124850&CFTOKEN=e57626398b6181e8-752678F8-FDFD-4FF3-62123D537D7FDC15,/surveys/3322241/3322241.pdf
id_3143559,Analysis and Classification of Shape-Changing Interfaces for Design and Application-based Research,https://dl.acm.org/ft_gateway.cfm?id=3143559&ftid=1937764&dwn=1&CFID=99880742&CFTOKEN=6155e4b6021d322f-75293944-D420-63AF-4B359A4804A1F6CE,,/surveys/3143559/3143559.pdf
id_3146025,Survey on Access Control for Community-Centered Collaborative Systems,https://dl.acm.org/ft_gateway.cfm?id=3146025&ftid=1937767&dwn=1&CFID=74124980&CFTOKEN=4d646fdad7b3d9b2-752E626B-DFB7-A43A-E1352AC76D74771A,,/surveys/3146025/3146025.pdf
